形式,入水口角度,出水口角度,旋轉角度,葉厚,片數,間隙(葉輪與幫浦腳),A(電流),Q(全開流量),P(全閉壓力),W(瓦數)
2,35,16,30,3,2,0.3,0.95,76.2,6.1,150
2,35,16,30,3,2,0.3,1.24,91.4,6.6,218
2,35,16,30,3,2,0.3,1.48,100.8,11,281
2,35,16,30,3,2,0.3,1.89,112.1,13.7,384
2,35,16,35,3,2,0.3,0.95,74.3,5.6,138
2,35,16,35,3,2,0.3,1.25,89,6.5,202
2,35,16,35,3,2,0.3,1.46,98.2,10.5,262
2,35,16,35,3,2,0.3,1.82,109.9,13.2,361
2,35,16,40,3,2,0.3,0.93,72.1,5.7,130
2,35,16,40,3,2,0.3,1.17,86.2,6.4,190
2,35,16,40,3,2,0.3,1.37,96.1,10.3,249
2,35,16,40,3,2,0.3,1.74,106.3,12.9,341
2,35,16,45,3,2,0.3,0.86,66.4,4.9,120
2,35,16,45,3,2,0.3,1.04,80.7,7.5,174
2,35,16,45,3,2,0.3,1.27,90.6,9.2,223
2,35,16,45,3,2,0.3,1.66,101.7,11.7,304
2,35,16,50,3,2,0.3,0.91,68.7,5.3,122
2,35,16,50,3,2,0.3,1.1,82.1,7.7,176
2,35,16,50,3,2,0.3,1.18,91,9.4,227
2,35,16,50,3,2,0.3,1.65,101.1,11.8,307
2,35,16,30,3,3,0.3,0.93,86.1,6.8,168.5
2,35,16,30,3,3,0.3,1.25,101.9,10.3,255.3
2,35,16,30,3,3,0.3,1.57,112.1,12.3,334.8
2,35,16,30,3,3,0.3,2.06,123.1,15.8,459.6
2,35,16,40,3,3,0.3,0.89,83.2,6.6,158
2,35,16,40,3,3,0.3,1.24,98.2,9.7,234
2,35,16,40,3,3,0.3,1.46,107.6,12,308
2,35,16,40,3,3,0.3,1.95,118.3,15.1,426
2,35,16,45,3,3,0.3,0.85,78.9,6.2,144
2,35,16,45,3,3,0.3,1.09,95.1,8.9,215
2,35,16,45,3,3,0.3,1.42,105,11.1,283
2,35,16,45,3,3,0.3,1.82,116.3,14,387
2,35,16,50,3,3,0.3,0.99,83,6.1,153
2,35,16,50,3,3,0.3,1.32,99.7,8.8,234
2,35,16,50,3,3,0.3,1.64,109.6,11,307
2,35,16,50,3,3,0.3,2.08,121.1,13.7,420
2,35,16,30,3,4,0.3,0.95,89.9,6.6,180.3
2,35,16,30,3,4,0.3,1.29,107.6,9.4,277.3
2,35,16,30,3,4,0.3,1.7,118.2,11.5,366.6
2,35,16,30,3,4,0.3,2.16,130,14.9,503.5
2,35,16,40,3,4,0.3,0.89,84.2,6,162
2,35,16,40,3,4,0.3,1.2,103.1,9.1,247
2,35,16,40,3,4,0.3,1.54,113.7,11.5,325
2,35,16,40,3,4,0.3,1.99,125.5,14.4,445
2,35,16,45,3,4,0.3,0.9,82.3,6.2,154
2,35,16,45,3,4,0.3,1.19,100,9,236
2,35,16,45,3,4,0.3,1.48,111.2,11.1,310
2,35,16,45,3,4,0.3,1.92,123.1,14.4,423
2,35,16,50,3,4,0.3,0.99,83,6.1,153
2,35,16,50,3,4,0.3,1.32,99.7,8.8,234
2,35,16,50,3,4,0.3,1.64,109.6,11,307
2,35,16,50,3,4,0.3,2.08,121.1,13.7,420
2,35,16,30,3,5,0.3,1.05,93.9,6.8,197
2,35,16,30,3,5,0.3,1.5,111.7,9.7,308.9
2,35,16,30,3,5,0.3,1.87,122.3,12.2,407.6
2,35,16,30,3,5,0.3,2.4,133,15,561.4
2,35,16,10,3,6,0.3,1.13,98.1,7.3,213.5
2,35,16,10,3,6,0.3,1.63,115.3,10.4,342.3
2,35,16,10,3,6,0.3,2.06,125.1,12.5,458.2
2,35,16,10,3,6,0.3,2.68,1.6,16,629.6
2,35,16,15,3,6,0.3,1.05,91.2,7.2,210
2,35,16,15,3,6,0.3,1.56,108,10.3,330
2,35,16,15,3,6,0.3,1.94,118,12.4,436
2,35,16,15,3,6,0.3,2.54,127.8,15.8,598
2,35,16,20,3,6,0.3,1.09,90.3,7.3,207
