形式,入水口角度,出水口角度,旋轉角度,葉厚,片數,間隙(葉輪與幫浦腳),Q(全開流量),揚程,W(瓦數)
1,34,13.5,63,3,6,0.3,25,9.2,161
1,34,13.5,63,3,6,0.25,25,9.2,162
1,32,11,64,2.5,6,0.3,25.1,9.3,154
1,32,11,64,2.5,6,0.25,25,9.3,155
1,34,13,63,2.5,6,0.3,25,9.3,165
1,34,13,63,2.5,6,0.3,25,9.3,165
1,34,13.5,63,2.5,6,0.25,25,9.3,165
1,34,13.5,63,2.5,6,0.3,25,9.3,165
1,34,13,63,2.5,6,0.25,25,9.3,166
1,35,14,64,2,6,0.3,25,9.4,162
1,35,14,64,2,6,0.25,25,9.4,162
1,35,14,64,2,6,0.3,25,9.4,162
1,34,14,62,3,6,0.28,25.1,9.4,163
1,35,16,66,2,6,0.3,25,9.4,163
1,33,13,62,2.5,6,0.3,25,9.4,163
1,35,16,66,2,6,0.3,25,9.4,163
1,33,13,62,2.5,6,0.25,25,9.4,165
1,34.6,14,64,3,6,0.3,25.1,9.4,166
1,34.6,14,64,3,6,0.3,25.1,9.4,166
1,34.6,14,64,3,6,0.25,25,9.4,166
1,35,14,66,2.5,6,0.3,25,9.5,163
1,35,14,66,2.5,6,0.3,25,9.5,163
1,34,14,62,3,6,0.3,25,9.5,164
1,34,14,62,3,6,0.2,25,9.5,164
1,34,14,62,3,6,0.3,25,9.5,164
1,35,14,66,2.5,6,0.25,25,9.5,164
1,33,13,62,3,6,0.3,25,9.5,165
1,33,13,62,3,6,0.3,25,9.5,165
1,34,14,62,3,6,0.25,25,9.5,165
1,35,16,66,2,6,0.25,25,9.5,165
1,33,13,62,3,6,0.25,25,9.5,168
1,34,13,64,3,6,0.25,25.1,9.6,137
1,34,13,64,2.5,6,0.3,25,9.6,163
1,34,13,64,2.5,6,0.3,25,9.6,164
1,34,13,64,3,6,0.3,25,9.6,164
1,35,14,65,2.5,6,0.3,25,9.6,165
1,34,13,64,2.5,6,0.25,25,9.6,165
1,35,14,65,2.5,6,0.3,25,9.6,165
1,34,14,63,2.5,6,0.3,25,9.6,166
1,35,14,65,2.5,6,0.25,25,9.6,166
1,34,14,63,2.5,6,0.25,25,9.6,168
1,32,12,64,3,6,0.3,25,9.6,175
1,34,13.5,64,2.5,6,0.3,25,9.7,165
1,35,15,64,2.5,6,0.3,25,9.7,165
1,34,13.5,64,2.5,6,0.3,25,9.7,165
1,35,15,64,2.5,6,0.3,25,9.7,165
1,35,15,64,2.5,6,0.25,25,9.7,166
1,36,17,64,2.5,6,0.25,25,9.7,172
1,34,13,63,3,6,0.3,25,9.7,173
1,34,13,63,3,6,0.25,25.1,9.7,175
1,32,12,64,3,6,0.25,25,9.7,178
